month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_feet,median_listing_price_per_square_feet_mm,median_listing_price_per_square_feet_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy
201909,maine,me,260000.0,-0.0153,0.0482,9213,-0.0285,-0.1552,85.0,0.1806,-0.1053,2128,-0.0764,-0.0584,52,0.1818,-0.4583,2140,0.2471,-0.0917,7246,0.1513,-0.1287,152.98422135833525,-0.0024,0.0571,1700.0,0.0,-6.0E-4,386101.0,0.0035,0.0742
201909,florida,fl,330000.0,-2.0E-4,0.0152,137945,-0.0365,-0.0344,83.0,-0.0119,0.0375,39880,0.0403,-0.0034,3240,-0.0241,-0.07,37340,0.4148,-0.0078,84753,0.0432,0.1003,180.82812499999997,0.0025,0.0381,1759.5,-0.0037,-0.0014,635811.0,0.0182,0.0357
201909,colorado,co,471050.0,-0.0082,0.0467,27763,-0.0296,0.0671,59.0,0.1569,0.0536,11328,0.0501,0.0695,716,0.4793,0.0468,10840,0.2905,0.1691,105642,0.0654,1.9858,200.3125,0.006,0.0791,2350.5,-0.0124,-0.0279,850085.0,0.0193,0.0068
201909,rhode island,ri,369450.0,0.0011,0.0264,3725,-0.0238,-0.1385,53.0,-0.0364,0.0192,1704,0.034,-0.0779,20,0.6667,-0.1667,1068,0.4053,-0.1217,3226,-0.0239,-0.0692,219.55570149672832,0.0043,0.0369,1658.0,-0.003,0.0085,599629.0,0.0143,0.0412
201909,texas,tx,293482.0,-0.0053,0.0118,112066,-0.0184,0.0219,63.0,0.0862,-0.0156,35832,0.0074,0.0784,3372,0.2026,0.0036,38964,0.2074,0.0911,124579,0.0448,0.431,131.07031249999997,0.0015,0.0384,2229.0,-0.0049,-0.0159,409359.0,2.0E-4,0.0145
201909,iowa,ia,207050.0,-0.0138,0.0355,15395,0.015,0.0767,68.5,0.1417,0.0379,4508,-0.0149,0.0713,264,-0.0571,1.3571,4984,0.2361,0.3157,18592,-1.0E-4,0.1448,122.79259378761742,-0.0067,0.045,1628.5,-0.0015,-0.0142,248344.99999999997,-0.0239,0.0162
201909,north dakota,nd,230000.0,-0.0215,-0.0215,3999,-0.0035,-0.0155,74.0,0.0571,0.0137,952,-0.0916,0.0769,28,0.75,-0.3,980,0.0606,-0.0858,1980,0.0861,0.1899,111.28900905885847,-0.0055,-0.0207,2118.5,-0.0045,0.0426,275407.0,-0.0168,-0.0205
201909,virginia,va,329950.0,0.0,0.0997,34806,-0.0401,-0.1697,66.5,0.0556,-0.0634,11728,0.0128,-0.0409,600,0.1628,-0.1124,8992,0.2912,-0.1407,22427,0.1082,-0.4122,147.57812499999997,6.0E-4,0.0499,2145.0,-0.0023,0.0499,456189.99999999994,0.0065,0.0862
201909,north carolina,nc,314950.0,0.005,0.0972,45745,-0.0176,-0.1281,77.5,0.0616,-0.1193,13740,-0.0511,0.1465,952,-0.1119,-0.0325,13192,0.3025,0.1004,58685,0.0409,0.0247,131.06931096147696,2.0E-4,0.0567,1978.0,0.0015,-0.0351,417155.0,0.0085,0.0866
201909,georgia,ga,293932.0,0.0034,0.0213,74330,-0.018,0.0802,62.5,0.0417,0.0246,25908,-0.0099,0.126,2072,0.0928,-0.1452,23144,0.3959,0.2227,43643,-0.017,-0.0996,108.55859374999999,0.0021,0.0452,2001.0,5.0E-4,-0.044,393057.0,0.0047,0.0119
