City,Population Rank,January 2017
Mankato,1095,1336
Hudson,1096,1221
Oakland Park,1097,1537
Monrovia,1098,2486
Dunwoody,1099,2408
West Chester,1100,1661
Joplin,1101,718
La Porte,1102,1170
Clifton Park,1103,2069
Freeport,1104,2764
Rancho Santa Margarita,1105,2862
Claremore,1106,949
Lehi,1107,1566
San Jacinto,1108,1474
Westfield,1109,1515
Texas City,1110,1246
Woonsocket,1111,1331
Elizabethtown,1112,1072
Cypress,1113,2765
Okeechobee,1114,1252
Lakeside,1115,2343
Auburn,1116,1902
North Lauderdale,1117,1590
Hoover,1118,1681
Shakopee,1119,1617
Fitchburg,1120,1397
Haltom City,1121,1243
Sherman,1122,1099
Pine Hills,1123,1132
Linden,1124,1748
Collierville,1125,2070
Kapolei,1126,2517
Leominster,1127,1579
Hopkinsville,1128,851
Crestview,1129,1099
Brea,1130,2943
Milledgeville,1131,1009
Cumberland,1132,1057
Fair Oaks,1133,1816
Wilkes-Barre,1134,797
Alamo,1135,943
Rowland Heights,1136,2517
Marion,1137,726
Merritt Island,1138,1574
Grapevine,1139,2233
Norwich,1140,1248
Kearny,1141,2146
La Puente,1142,2127
Aiea,1143,2423
Gig Harbor,1144,1910
Peachtree Corners,1145,1818
Holyoke,1146,1419
Eureka,1147,1362
Country Club,1148,1634
Muskogee,1149,730
North Brunswick,1150,2116
Elkton,1151,1360
Blue Springs,1152,1261
Fenton,1153,1393
Buford,1154,1487
Idaho Falls,1155,1024
Hoffman Estates,1156,1766
Crystal Lake,1157,1635
Salem,1158,2045
State College,1159,1592
Tonawanda,1160,1224
Germantown,1161,2122
New Berlin,1162,1754
Lake Oswego,1163,2570
Evans,1164,1463
Grass Valley,1165,1760
Menlo Park,1166,5379
Levittown,1167,2768
Cedar Hill,1168,1457
Elmont,1169,2785
Rowlett,1170,1674
Sarasota,1171,1869
Merrillville,1172,1223
Streamwood,1173,1570
Port Huron Township,1174,834
Ankeny,1175,1567
Franklin Township,1176,2181
Fort Pierce,1177,1143
Palestine,1178,1130
Bountiful,1179,1532
Wooster,1180,1141
Georgetown,1181,1228
Hillsborough,1182,2300
Teaneck,1183,2364
Towson,1184,1976
Cutler Bay,1185,1911
Brighton,1186,1727
Bartlesville,1187,931
Manassas,1188,1850
Enterprise,1189,1341
Nicholasville,1190,904
Bothell,1191,2290
Manheim Township,1192,1263
Palm Beach Gardens,1193,2298
Owasso,1194,1245
Winter Springs,1195,1508
Thomasville,1196,826
Los Banos,1197,1264
Littleton,1198,2044
Riverton,1199,1703
Olympia,1200,1467
Beaumont,1201,1728
Elizabeth City,1202,1007
Amherst,1203,2201
Winder,1204,1150
Rock Island,1205,778
Lincoln Park,1206,846
Chester Township,1207,1023
Moorhead,1208,1305
Middle River,1209,1558
Chesterfield,1210,1512
Hicksville,1211,2853
Gonzales,1212,1482
Los Lunas,1213,921
Carol Stream,1214,1778
District Heights,1215,1744
Euclid,1216,950
Brookhaven,1217,2450
Kankakee,1218,966
Hallandale,1219,1625
Bonney Lake,1220,1765
Burlington,1221,812
Great Neck,1222,4622
Ramona,1223,2426
Harvey,1224,1369
Addison,1225,1757
Marlborough,1226,2231
Gallatin,1227,1408
Moses Lake,1228,938
Montclair,1229,2406
Wheeling,1230,873
Maplewood,1231,1465
Alamogordo,1232,842
San Bruno,1233,3573
Greenfield,1234,1112
Palmetto,1235,1508
Xenia,1236,972
Walla Walla,1237,1232
Urbandale,1238,1648
Manitowoc,1239,891
Austell,1240,1177
Lancaster,1241,1319
Kendall West,1242,1640
East Meadow,1243,2858
Chester,1244,1398
Clinton,1245,1962
Gaffney,1246,968
Mansfield,1247,689
Seattle Hill-Silver Firs,1248,2176
Sonoma,1249,2608
Fishers,1250,1594
Plymouth Township,1251,1731
Monroe Township,1252,2290
Waxahachie,1253,1499
Franconia,1254,2294
Wenatchee,1255,1458
Brentwood,1256,3424
Kannapolis,1257,917
Texarkana,1258,869
Shelton,1259,2106
Essex,1260,1530
Reynoldsburg,1261,1299
Brighton,1262,1799
Ewing,1263,1808
Roy,1264,1241
Little Elm,1265,1666
Oro Valley,1266,1434
Waianae,1267,1991
Beverly,1268,2379
Chelsea,1269,2246
Kinston,1270,853
